
Naive Bayes Classifier

                 Class
Attribute          CYT    NUC    MIT    ME3    ME2    ME1    EXC    VAC    POX    ERL
  AGA2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YMX1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYAC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHA1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHA2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALG1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALG5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GPT_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALG8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAN1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ANC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ANP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  APE2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  APE3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADB2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YHB9_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  APN1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARF1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARF2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ASSY_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OTC_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARLY_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AR56_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARGD_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARG1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARG2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARG3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARO1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AROC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AROF_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AROG_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHMU_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ASG2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AST1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATE1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPY_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPS_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPT_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPU_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPE_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPG_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPD_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATPO_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATP7_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATP8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YBR8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BAR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BAS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BCK1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BCK2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BCS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KAPR_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BDF1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BEM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BET1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BGL2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYBM_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YMC4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BIK1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BOS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BSD2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BUD5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAP2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAN1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAPA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAPB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARGI_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OAT_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CACP_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAT8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBF1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CB32_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBF5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBP2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBP3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBP4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBP6_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NC5R_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBS2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  TNT_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATU1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CCE1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CCL1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CCPR_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CCR4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CTPT_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC10_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC11_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC12_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC16_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC23_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC24_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC25_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC27_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CDC3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC31_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IF4E_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UBC3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NOT2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NOT1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC4_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC40_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC42_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAL1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RFC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC46_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YB52_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC48_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC6_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYLC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC68_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CC7_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KTHY_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DNLI_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MCE1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CEM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RLUB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CLH_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHL1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHL4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PSS_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PEM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHS2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHS3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CIK1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CIN1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CIN4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CIN8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CISY_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CISZ_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KC21_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KC22_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KC2C_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KICH_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CLC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CG11_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CG12_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CG13_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CALM_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KCC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KCC2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  P2B1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  P2B2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CALB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CALX_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYB_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COFI_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COQ1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COQ2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COQ3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UCR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COT1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXX_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXZ_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXG_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXE_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YEX1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COXB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX6_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX7_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX8_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COX9_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CARA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CARB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPH_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPB_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPR_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPD_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CBPS_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CPT1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CRM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  R141_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  R142_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CSE1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CSE2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YKE9_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CSG2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CATA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CB33_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CTK1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CTR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHI1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHI2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CATT_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MTC_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYB2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYC2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CCHL_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYC7_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RL2A_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYAA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYS3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CY1_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYT2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DAL4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DAL5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MASZ_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DA80_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DA81_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DA82_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DAP2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DATI_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DBF4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DBP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DBP2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DBR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DED1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DEP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DYR_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DYHC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHH1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DLD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DMC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DPB2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DPB3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DPM1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYDC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DRS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATC4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DSS4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
